id,text,label
1,"You see the drip…I’m always fresh if the Feds watching that’s what 2 chainz said","Meme / Humor"
2,"THE OKLAHOMA CITY THUNDER HAVE BEEN ELIMINATED FROM 2026 NBA CHAMPIONSHIP CONTENTION","Informational / News / Update"
3,"Karl-Anthony Towns says he'd take a $100,000,000 pay cut to keep the Knicks together","Informational / News / Update"
4,"Interviewer: Jaxson Hayes got Slovenian citizenship... THE NEW YORK KNICKS ARE YOUR 2026 NBA CHAMPIONS","Meme / Humor"
5,"How Knicks' OG Anunoby is helping NYC shelter cats find their forever homes","Analytical"
6,"[Highlight] Thank you, mama. I appreciate you getting me one. - Karl-Anthony Towns","Informational / News / Update"
7,"Jose Alvarado on Victor Wembanyama not shaking hands with the Knicks...","Informational / News / Update"
8,"When the NBA was formed via merger in 1949... Dayton Rens were excluded","Informational / News / Update"
9,"[Highlight] OG Anunoby tips the ball in to give the Knicks the lead","Informational / News / Update"
10,"Gary Vitti: I love Shaq... but you had to be looking over your shoulder all the time","Informational / News / Update"
11,"[Highlight] KAT and Mayor Mamdani lean back together on the Knicks float","Informational / News / Update"
12,"LeBron at 41 still dropping 25 like it's a warm-up run","Meme / Humor"
13,"Lakers announce LeBron listed as questionable with age management","Informational / News / Update"
14,"Hot take: Jokic already has a top-10 offensive peak ever and it's not close","Hot Take / Reactionary Opinion"
15,"[Clip] Curry hits a ridiculous logo three and shrugs while falling backward","Informational / News / Update"
16,"Why does every Knicks win feel like a playoff game even in November lol","Meme / Humor"
17,"Breaking: Suns exploring trade packages centered around future first-round picks","Informational / News / Update"
18,"This is the most overrated MVP race I've seen in years","Hot Take / Reactionary Opinion"
19,"[Highlight] Ant Edwards poster dunk over two defenders ignites crowd","Informational / News / Update"
20,"Bro the refs are just guessing at this point 💀","Meme / Humor"
21,"Nuggets coaching staff says they're not concerned about slow start","Informational / News / Update"
22,"SGA might be the calmest 30 PPG scorer we've ever seen","Hot Take / Reactionary Opinion"
23,"[Clip] Wembanyama blocks a three, then runs the floor for a dunk","Informational / News / Update"
24,"The Celtics subreddit is in absolute meltdown mode again","Meme / Humor"
25,"Giannis: We just need to be more physical after loss to Cavs","Informational / News / Update"
26,"Hot take: prime KD would average 35 in any era, including now","Hot Take / Reactionary Opinion"
27,"[Highlight] Haliburton no-look dime in transition for easy layup","Informational / News / Update"
28,"Why does every mid-season trade rumor involve the Heat somehow","Meme / Humor"
29,"Warriors confirm Draymond Green available after suspension review","Informational / News / Update"
30,"Brunson is carrying offensive load like a true #1 option","Analytical"
31,"[Clip] Embiid stepback jumper over double team to beat buzzer","Informational / News / Update"
32,"Rockets fans debating whether rebuild is finally over","Meme / Humor"
33,"Knicks exploring depth chart changes after bench scoring slump","Informational / News / Update"
34,"Hot take: Tatum is closer to top 3 than top 10 right now","Hot Take / Reactionary Opinion"
35,"[Highlight] Ja Morant fast break windmill dunk","Informational / News / Update"
36,"Why is every backup center suddenly a future starter on r/nba","Meme / Humor"
37,"NBA releases updated MVP ladder with Jokic still at top","Informational / News / Update"
38,"This league has a spacing problem and nobody wants to admit it","Hot Take / Reactionary Opinion"
39,"[Clip] Kawhi quiet 28-point game with elite defense sequences","Informational / News / Update"
40,"Every time I check box score, someone random has 40 points","Meme / Humor"
id,text,label
41,"Bucks emphasize defensive scheme adjustments ahead of playoffs","Informational / News / Update"
42,"Anthony Davis when healthy is still top-5 impact player","Hot Take / Reactionary Opinion"
43,"[Highlight] Trae Young logo shot silences opposing crowd","Informational / News / Update"
44,"Why does every team suddenly need shooting at the deadline","Meme / Humor"
